console,name,file,developer,publisher,releasedate,genre,players,desc
NES,Conan: The Mysteries of Time,conan_the_mysteries_of_time.nes,Mindscape,Mindscape,1991-06-01,Action,1,Guide Conan through various levels filled with enemies and traps in this action game.
NES,Conflict,conflict.nes,Vic Tokai,Vic Tokai,1990-02-01,Strategy,1,Command military units and manage resources in this turn-based strategy game.
NES,Conquest of the Crystal Palace,conquest_of_the_crystal_palace.nes,Quest,Asmik,1990-11-01,Action-platformer,1,Journey through the Crystal Palace to defeat an evil demon and reclaim your kingdom.
NES,Contra,contra.nes,Konami,Konami,1987-02-20,Run and gun,2,Eliminate an alien threat by blasting your way through enemy soldiers and bosses in this cooperative action game.
NES,Contra Force,contra_force.nes,Konami,Konami,1992-09-01,Run and gun,1,Lead a special forces team to stop a terrorist organization in this spin-off of the Contra series.
NES,Cool World,cool_world.nes,Ocean,Ocean,1992-07-01,Action-platformer,1,Explore a bizarre world where cartoon and reality collide in this game based on the movie.
NES,Cosmic Epsilon,cosmic_epsilon.nes,Home Data,Asmik,1989-10-06,Rail shooter,1,Pilot a spacecraft and defeat enemy forces in this 3D rail shooter.
NES,Crystalis,crystalis.nes,SNK,SNK,1990-04-01,Action RPG,1,Explore a post-apocalyptic world and save humanity from an evil empire in this action RPG.
NES,Cyberball,cyberball.nes,Tengen,Tengen,1989-10-01,Sports,2,Play football with futuristic robots in this fast-paced sports game.
NES,Cybernoid: The Fighting Machine,cybernoid_the_fighting_machine.nes,Hewson,Acclaim,1989-10-01,Shoot 'em up,1,Pilot a heavily armed spacecraft and battle through enemy defenses in this challenging shooter.
NES,Cyraid,cyraid.nes,Micronics,Kyugo Boueki,1989-12-22,Puzzle,1,Navigate through puzzle-filled dungeons to uncover hidden treasures.
NES,Danny Sullivan's Indy Heat,danny_sullivans_indy_heat.nes,Leland Corporation,Tradewest,1992-01-01,Racing,4,Race in high-speed Indy cars in this arcade-style racing game.
NES,Darkman,darkman.nes,Ocean Software,Ocean Software,1991-09-01,Action-platformer,1,Guide Darkman as he seeks revenge against the criminals who destroyed his life.
NES,Dash Galaxy in the Alien Asylum,dash_galaxy_in_the_alien_asylum.nes,Beam Software,Data East,1990-07-01,Action-puzzle,1,Navigate through a series of challenging levels filled with puzzles and enemies.
NES,Days of Thunder,days_of_thunder.nes,Mindscape,Mindscape,1990-11-01,Racing,1,Race in NASCAR events inspired by the movie and try to become the champion.
NES,Deadly Towers,deadly_towers.nes,Lenar,Brøderbund,1987-09-01,Action RPG,1,Explore towers filled with dangerous enemies and traps to defeat an evil wizard.
NES,Death Race,death_race.nes,American Game Cartridges,American Game Cartridges,1990-10-01,Action,1,Run down as many zombies as possible in your car before time runs out.
NES,Defender II,defender_ii.nes,HAL Laboratory,HAL Laboratory,1988-10-01,Shoot 'em up,2,Defend your city from alien invaders in this classic arcade shooter.
NES,Defender of the Crown,defender_of_the_crown.nes,Cinemaware,Ultra Games,1989-07-01,Strategy,1,Lead your knights in battle to take control of England in this medieval strategy game.
NES,Defenders of Dynatron City,defenders_of_dynatron_city.nes,Lucasfilm Games,JVC,1992-10-01,Action,1,Save Dynatron City from the evil Dr. Mayhem using a team of superheroes.
NES,Déjà Vu,deja_vu.nes,ICOM Simulations,Seika Corporation,1990-10-01,Adventure,1,Uncover the mystery of your lost memory in this noir-style point-and-click adventure.
NES,Demon Sword,demon_sword.nes,Taito,Taito,1990-01-01,Action-platformer,1,Use the power of the Demon Sword to defeat evil forces and restore peace to the land.
NES,Desert Commander,desert_commander.nes,Seibu Kaihatsu,Ultra Games,1989-09-01,Strategy,1,Command your troops in desert battles during World War II in this turn-based strategy game.
NES,Destination Earthstar,destination_earthstar.nes,Imagineering,Acclaim Entertainment,1990-03-01,Shoot 'em up,1,Pilot a spacecraft through space battles and enemy territory to save Earth from alien invaders.
NES,Destiny of an Emperor,destiny_of_an_emperor.nes,Capcom,Capcom,1990-09-01,Role-playing game,1,Lead an army in ancient China and battle through a series of strategic RPG encounters.
NES,Dig Dug II,dig_dug_ii.nes,Namco,Bandai,1989-04-01,Arcade,2,Use your drill to sink sections of an island and defeat enemies in this classic arcade sequel.
NES,Dirty Harry,dirty_harry.nes,Gray Matter,Warner Bros.,1990-10-01,Action,1,Take on the role of Dirty Harry and clean up the streets of San Francisco by taking down criminals.
NES,Donkey Kong,donkey_kong.nes,Nintendo,Nintendo,1986-06-01,Arcade,2,Climb platforms and dodge barrels to rescue Pauline from Donkey Kong in this classic arcade game.
NES,Donkey Kong 3,donkey_kong_3.nes,Nintendo,Nintendo,1986-07-01,Arcade,2,Use your spray gun to fend off Donkey Kong and insects in this unique twist on the classic series.
NES,Donkey Kong Classics,donkey_kong_classics.nes,Nintendo,Nintendo,1988-10-01,Arcade,2,Relive the original Donkey Kong and Donkey Kong Jr. in this compilation cartridge.
NES,Donkey Kong Jr.,donkey_kong_jr.nes,Nintendo,Nintendo,1986-06-01,Arcade,2,Rescue Donkey Kong from Mario's clutches by guiding his son through a series of challenging levels.
NES,Double Dare,double_dare.nes,GameTek,GameTek,1990-07-01,Trivia,2,Compete in trivia questions and physical challenges based on the popular TV game show.
NES,Double Dragon,double_dragon.nes,Technos Japan,Tradewest,1988-06-01,Beat 'em up,2,Fight your way through gangs of enemies to rescue Marian in this classic beat 'em up.
NES,Double Dragon II: The Revenge,double_dragon_ii_the_revenge.nes,Technos Japan,Acclaim Entertainment,1990-01-01,Beat 'em up,2,Join Billy and Jimmy Lee on a quest for revenge in this action-packed sequel.
NES,Double Dragon III: The Sacred Stones,double_dragon_iii_the_sacred_stones.nes,Technos Japan,Acclaim Entertainment,1991-02-01,Beat 'em up,2,Travel the world to defeat a mysterious enemy and uncover the secrets of the Sacred Stones.
NES,Dr. Chaos,dr_chaos.nes,Famicom,FCI,1988-06-01,Action-adventure,1,Explore a haunted mansion filled with monsters and traps to rescue your brother.
NES,Dr. Jekyll and Mr. Hyde,dr_jekyll_and_mr_hyde.nes,Advance Communication,Toho,1989-04-01,Action,1,Control both Dr. Jekyll and Mr. Hyde in this split-personality adventure through Victorian England.
NES,Dr. Mario,dr_mario.nes,Nintendo,Nintendo,1990-10-01,Puzzle,2,Match capsules to eliminate viruses in this classic puzzle game featuring Mario as a doctor.
NES,Dragon Fighter,dragon_fighter.nes,Natsume,SOFEL,1992-03-01,Action,1,Transform into a dragon to battle through hordes of enemies and save the world from destruction.
NES,Dragon Power,dragon_power.nes,Toei Animation,Bandai,1988-03-01,Action-adventure,1,Search for the Dragon Balls and battle enemies in this game based on the Dragon Ball anime series.
NES,Dragon Spirit: The New Legend,dragon_spirit_the_new_legend.nes,Namco,Bandai,1990-10-01,Shoot 'em up,1,Fly a dragon and shoot down enemies to save the world from an evil serpent.
NES,Dragon Warrior,dragon_warrior.nes,Chunsoft,Enix,1989-08-01,Role-playing game,1,Embark on a quest to defeat the Dragonlord and rescue Princess Gwaelin in this classic RPG.
NES,Dragon Warrior II,dragon_warrior_ii.nes,Chunsoft,Enix,1990-09-01,Role-playing game,1,Continue the legendary quest in this sequel featuring new characters and expanded gameplay.
NES,Dragon Warrior III,dragon_warrior_iii.nes,Chunsoft,Enix,1992-03-01,Role-playing game,1,Defeat the archfiend Baramos and save the world in this epic RPG adventure.
NES,Dragon Warrior IV,dragon_warrior_iv.nes,Chunsoft,Enix,1992-10-01,Role-playing game,1,Lead a group of heroes to victory in this final chapter of the Dragon Warrior series on NES.
NES,Dragons Lair,dragons_lair.nes,Motivetime,Cameo,1990-11-01,Action-platformer,1,Guide Dirk the Daring through a series of deadly traps to rescue Princess Daphne.
NES,Dropzone,dropzone.nes,Novagen,Mindscape,1992-06-01,Shoot 'em up,1,Protect your base from alien invaders in this side-scrolling shooter.
NES,Duck Hunt,duck_hunt.nes,Nintendo,Nintendo,1985-10-18,Light gun,2,Use the NES Zapper to shoot ducks and clay pigeons in this classic light gun game.
NES,DuckTales,ducktales.nes,Capcom,Capcom,1989-09-01,Platformer,1,Join Scrooge McDuck on a treasure hunt around the world in this beloved platformer.
NES,DuckTales 2,ducktales_2.nes,Capcom,Capcom,1993-06-01,Platformer,1,Continue the adventure with Scrooge McDuck as he searches for more hidden treasures in this sequel.
NES,Dusty Diamond's All-Star Softball,dusty_diamonds_all_star_softball.nes,TOSE,Bandai,1990-06-01,Sports,2,Build your dream team and compete in fast-paced softball games in this quirky sports title.
NES,Elevator Action,elevator_action.nes,Taito,Taito,1987-08-01,Action,1,Infiltrate a building, retrieve secret documents, and avoid enemy agents in this classic arcade action game.
NES,Eliminator Boat Duel,eliminator_boat_duel.nes,Sculptured Software,Pony Canyon,1991-08-01,Racing,2,Compete in high-speed boat races filled with obstacles, power-ups, and combat.
NES,Empire Strikes Back,empire_strikes_back.nes,JVC,Lucasfilm Games,1992-03-01,Action-platformer,1,Relive the events of the Star Wars movie by battling through levels as Luke Skywalker.
NES,Excitebike,excitebike.nes,Nintendo,Nintendo,1985-10-18,Racing,1,Race your motorbike across dirt tracks filled with jumps and obstacles in this classic racing game.
NES,Exodus: Journey to the Promised Land,exodus_journey_to_the_promised_land.nes,Color Dreams,Color Dreams,1991-06-01,Puzzle,1,Lead the Israelites to the Promised Land by solving puzzles and overcoming enemies.
NES,Exciting Boxing,exciting_boxing.nes,Alpha Denshi,Konami,1987-12-18,Sports,2,Step into the ring and compete in boxing matches against tough opponents.
NES,F-117A Stealth Fighter,f_117a_stealth_fighter.nes,MicroProse,MicroProse,1992-01-01,Simulation,1,Pilot a stealth fighter jet through various missions to eliminate enemy targets.
NES,F-15 Strike Eagle,f_15_strike_eagle.nes,MicroProse,MicroProse,1992-01-01,Simulation,1,Take control of an F-15 fighter jet and complete various air combat missions.
NES,Family Feud,family_feud.nes,GameTek,GameTek,1991-11-01,Trivia,2,Compete against another family by answering survey questions in this game show adaptation.
NES,Faxanadu,faxanadu.nes,Hudson Soft,Nintendo,1989-08-01,Action RPG,1,Explore a vast world filled with enemies and puzzles in this action RPG adventure.
NES,Felix the Cat,felix_the_cat.nes,Shimada Kikaku,Hudson Soft,1992-10-01,Platformer,1,Help Felix the Cat rescue his girlfriend Kitty from the evil Professor in this colorful platformer.
NES,Fester's Quest,festers_quest.nes,Sunsoft,Sunsoft,1989-09-01,Action-adventure,1,Join Uncle Fester on a quest to save the Addams Family from an alien invasion.
NES,Final Fantasy,final_fantasy.nes,Squaresoft,Nintendo,1987-12-18,Role-playing game,1,Embark on an epic journey to restore light to the crystals and save the world in this groundbreaking RPG.
NES,Fire 'n Ice,fire_n_ice.nes,Compile,Tecmo,1993-03-01,Puzzle,1,Extinguish flames and solve puzzles by creating and moving blocks of ice in this challenging puzzle game.
NES,Firehawk,firehawk.nes,Codemasters,Camerica,1991-12-01,Shoot 'em up,1,Pilot a helicopter on dangerous missions to rescue hostages and destroy enemy bases.
NES,Fist of the North Star,fist_of_the_north_star.nes,Shouei System,Toei Animation,1989-04-01,Action,1,Fight your way through waves of enemies as Kenshiro in this beat 'em up based on the popular anime.
NES,Flight of the Intruder,flight_of_the_intruder.nes,Imagineering,Mindscape,1991-04-01,Simulation,1,Pilot an A-6 Intruder through dangerous missions during the Vietnam War.
NES,Flintstones: The Rescue of Dino & Hoppy,flintstones_the_rescue_of_dino_and_hoppy.nes,Taito,Taito,1991-12-01,Platformer,1,Help Fred Flintstone rescue Dino and Hoppy from a time-traveling villain in this prehistoric adventure.
NES,Football,fotball.nes,Nintendo,Nintendo,1985-10-18,Sports,2,Play a game of American football with simplified gameplay and classic 8-bit graphics.
NES,Formula One: Built to Win,formula_one_built_to_win.nes,Winter Productions,SETA,1990-12-01,Racing,1,Start as a rookie driver and work your way up to become a Formula One champion.
NES,Frankenstein: The Monster Returns,frankenstein_the_monster_returns.nes,TOSE,Bandai,1991-12-01,Action-platformer,1,Rescue Emily from the clutches of Frankenstein's monster in this gothic action game.
NES,Freedom Force,freedom_force.nes,Sunsoft,Sunsoft,1988-10-01,Light gun,1,Take on terrorists in a series of fast-paced shooting missions using the NES Zapper.
NES,Friday the 13th,friday_the_13th.nes,Atlus,LJN,1989-02-01,Horror,1,Survive the night at Camp Crystal Lake by defeating Jason Voorhees and saving the camp counselors.
NES,Fun House,fun_house.nes,Realtime Associates,Hi-Tech Expressions,1991-10-01,Puzzle,1,Solve puzzles and complete challenges in this game based on the popular TV show.
NES,Future Wars,future_wars.nes,Delphine Software,U.S. Gold,1991-09-01,Adventure,1,Travel through time to prevent an alien invasion in this point-and-click adventure game.
NES,G.I. Joe: A Real American Hero,gi_joe_a_real_american_hero.nes,KID,Taxan,1991-01-01,Action-platformer,1,Lead a team of G.I. Joe operatives to defeat Cobra in this action-packed platformer.
NES,G.I. Joe: The Atlantis Factor,gi_joe_the_atlantis_factor.nes,KID,Capcom,1992-03-01,Action-platformer,1,Join G.I. Joe as they take on Cobra's forces in a battle to stop the Atlantis Factor.
